name,Tel,region,address,class,longitude,latitude,name_pinyin,address_pinyin,region_pinyin
王府井古人类文化遗址博物馆,85186306,王府井/东单,东长安街与王府井大街交叉口东北100米,Museum,116.412819,39.909153,wang fu jing gu ren lei wen hua yi zhi bo wu guan,dong chang an jie yu wang fu jing da jie jiao cha kou dong bei 100 mi,wang fu jing / dong dan
西周燕都遗址博物馆,61393475;61393049,窦店镇,琉璃河镇董家林村7区1号,Museum,116.056877,39.616669,xi zhou yan du yi zhi bo wu guan,liu li he zhen dong jia lin cun 7 qu 1 hao,dou dian zhen
北大红楼,52208928;52208929,王府井/东单,五四大街29号,Memorial Hall,116.405319,39.924675,bei da hong lou,wu si da jie 29 hao,wang fu jing / dong dan
北京艺术博物馆,68413380;68456997,紫竹桥,西三环北路万寿寺内,Museum,116.311386,39.946651,bei jing yi zhu bo wu guan,xi san huan bei lu wan shou si nei,zi zhu qiao
北京周口店北京人遗址博物馆,53230037,房山区,周口店镇周口店大街1号,Museum,115.929717,39.690099,bei jing zhou kou dian bei jing ren yi zhi bo wu guan,zhou kou dian zhen zhou kou dian da jie 1 hao,fang shan qu
中国地质博物馆,66557858,西四,西四羊肉胡同15号,Museum,116.371742,39.923393,zhong guo di zhi bo wu guan,xi si yang rou hu tong 15 hao,xi si
中国古动物馆,88369280;88369210,西直门/动物园,"西直门外大街142号（北京动物园售票处西300米路南,北京Planetarium西50米）",Museum,116.333946,39.937428,zhong guo gu dong wu guan,"xi zhi men wai da jie 142 hao （ bei jing dong wu yuan shou piao chu xi 300 mi lu nan , bei jing P l a n e t a r i u m xi 50 mi ）",xi zhi men / dong wu yuan
中国国家博物馆,65116400,王府井/东单,东长安街16号（天安门广场东侧）,Museum,116.401398,39.905415,zhong guo guo jia bo wu guan,dong chang an jie 16 hao （ tian an men guang chang dong ce ）,wang fu jing / dong dan
中国航空博物馆,66916919;61784882,小汤山镇,小汤山镇顺沙路中国航空博物馆,Museum,116.366646,40.185047,zhong guo hang kong bo wu guan,xiao tang shan zhen shun sha lu zhong guo hang kong bo wu guan,xiao tang shan zhen
北京民俗博物馆,65510151,朝外大街,朝阳门外大街141号,Museum,116.443962,39.92408,bei jing min su bo wu guan,zhao yang men wai da jie 141 hao,zhao wai da jie
中国钱币博物馆,66024178,前门/大栅栏,西交民巷17号,Museum,116.395073,39.902348,zhong guo qian bi bo wu guan,xi jiao min xiang 17 hao,qian men / da zha lan
中国人民革命军事博物馆,66866244;66866248,公主坟/万寿路,复兴路9号,Museum,116.323875,39.909151,zhong guo ren min ge ming jun shi bo wu guan,fu xing lu 9 hao,gong zhu fen / wan shou lu
中国现代文学馆,57311800,对外经贸,文学馆路45号,Exhibition Gallery,116.430054,39.984692,zhong guo xian dai wen xue guan,wen xue guan lu 45 hao,dui wai jing mao
中国印刷博物馆,60261243,黄村,兴华北路25号（清源路地铁站A西北口步行210米）,Museum,116.331459,39.743484,zhong guo yin shua bo wu guan,xing hua bei lu 25 hao （ qing yuan lu di tie zhan A xi bei kou bu xing 210 mi ）,huang cun
中国邮政邮票博物馆,65213894,建国门/北京站,贡院西街6号D座（近长安大戏院）,Museum,116.431206,39.910816,zhong guo you zheng you piao bo wu guan,gong yuan xi jie 6 hao D zuo （ jin chang an da xi yuan ）,jian guo men / bei jing zhan
中国紫檀博物馆,85752818,高碑店,建国路23号（地铁1号线高碑店站向西300米）,Museum,116.526093,39.910671,zhong guo zi tan bo wu guan,jian guo lu 23 hao （ di tie 1 hao xian gao bei dian zhan xiang xi 300 mi ）,gao bei dian
中华民族博物院,62063646;62063647,亚运村,民族园路1号,Museum,116.390867,39.98538,zhong hua min zu bo wu yuan,min zu yuan lu 1 hao,ya yun cun
中央民族大学民族博物馆,68933341;68932390,魏公村,中关村南大街27号,Museum,116.318069,39.948967,zhong yang min zu da xue min zu bo wu guan,zhong guan cun nan da jie 27 hao,wei gong cun
北京自然博物馆,67027702;67024431,天坛,天桥南大街126号,Museum,116.399811,39.883171,bei jing zi ran bo wu guan,tian qiao nan da jie 126 hao,tian tan
八达岭野生动物世界,69122591,八达岭,八达岭镇216省道水泉沟,Wildlife Park,115.996861,40.35117,ba da ling ye sheng dong wu shi jie,ba da ling zhen 216 sheng dao shui quan gou,ba da ling
八大处公园,88964661;88961812,八大处,八大处路3号,Religion,116.184358,39.962705,ba da chu gong yuan,ba da chu lu 3 hao,ba da chu
半壁店国家森林公园,89231397,大兴区,庞安路,Forest Park,116.438622,39.613209,ban bi dian guo jia sen lin gong yuan,pang an lu,da xing qu
宝联体育公园,57170857;57171211,紫竹桥,北洼西里48号（近地铁10号线、6号线慈寿寺站）,City Park,116.299042,39.936211,bao lian ti yu gong yuan,bei wa xi li 48 hao （ jin di tie 10 hao xian 、 6 hao xian ci shou si zhan ）,zi zhu qiao
北滨河公园,62011470,德外大街,德外大街安德路102号,City Park,116.391304,39.950478,bei bin he gong yuan,de wai da jie an de lu 102 hao,de wai da jie
北海公园,64037972,地安门,文津街1号,Garden,116.388764,39.928252,bei hai gong yuan,wen jin jie 1 hao,di an men
北京动物园,68390274;68314411,西直门/动物园,西直门外大街137号,Zoo,116.336731,39.942097,bei jing dong wu yuan,xi zhi men wai da jie 137 hao,xi zhi men / dong wu yuan
北京野生动物园,89216606;89216666,大兴区,106国道榆垡镇万亩森林,Wildlife Park,116.333611,39.496262,bei jing ye sheng dong wu yuan,106 guo dao yu fa zhen wan mu sen lin,da xing qu
国家植物园,82598771,香山/植物园,香山路与中轴路交叉口东北角,Botanical Garden,116.210907,39.998135,guo jia zhi wu yuan,xiang shan lu yu zhong zhou lu jiao cha kou dong bei jiao,xiang shan / zhi wu yuan
菖蒲河公园,,王府井/东单,菖蒲河沿9号（天安门东地铁站B东北口步行200米）,City Park,116.403618,39.908562,chang pu he gong yuan,chang pu he yan 9 hao （ tian an men dong di tie zhan B dong bei kou bu xing 200 mi ）,wang fu jing / dong dan
东单公园,65129353,王府井/东单,大华路4号,City Park,116.417107,39.9049,dong dan gong yuan,da hua lu 4 hao,wang fu jing / dong dan
丰台科技园生态主题公园,63730113,看丹桥/新华街,科兴路1号(科怡路口)（丰台南路地铁站D西南口步行410米）,Park/Square,116.295235,39.838959,feng tai ke ji yuan sheng tai zhu ti gong yuan,ke xing lu 1 hao ( ke yi lu kou ) （ feng tai nan lu di tie zhan D xi nan kou bu xing 410 mi ）,kan dan qiao / xin hua jie
福海公园,,大红门,永外高庄138号,City Park,116.402,39.847157,fu hai gong yuan,yong wai gao zhuang 138 hao,da hong men
古城公园,68878597,古城/八角,古城南路1号,Park/Square,116.193321,39.911777,gu cheng gong yuan,gu cheng nan lu 1 hao,gu cheng / ba jiao
北京国际雕塑公园,68650422,鲁谷,石景山路2号（地铁玉泉路A出口西南400米）,Cultural Park,116.245079,39.906017,bei jing guo ji diao su gong yuan,shi jing shan lu 2 hao （ di tie yu quan lu A chu kou xi nan 400 mi ）,lu gu
昊天公园,69354447,良乡,东关街73号,Park/Square,116.154602,39.733765,hao tian gong yuan,dong guan jie 73 hao,liang xiang
黑山公园,69842990,门头沟城区,黑山大街12号,City Park,116.096481,39.94075,hei shan gong yuan,hei shan da jie 12 hao,men tou gou cheng qu
红领巾公园,85824746,十里堡,八里庄5号,City Park,116.491402,39.926601,hong ling jin gong yuan,ba li zhuang 5 hao,shi li bao
花乡公园,63713852,世界公园,丰葆路,Park/Square,116.297295,39.805218,hua xiang gong yuan,feng bao lu,shi jie gong yuan
槐房钓鱼公园,,大红门,槐房路,City Park,116.378571,39.81871,huai fang diao yu gong yuan,huai fang lu,da hong men
黄渠公园,65754850,定福庄,黄渠村（褡裢坡地铁站B东北口步行470米）,City Park,116.568497,39.927597,huang qu gong yuan,huang qu cun （ da lian po di tie zhan B dong bei kou bu xing 470 mi ）,ding fu zhuang
会城门公园,63467342,首都博物馆/莲花池东路,双贝子坟路1号,City Park,116.333214,39.901096,hui cheng men gong yuan,shuang bei zi fen lu 1 hao,shou du bo wu guan / lian hua chi dong lu
景藏健康公园,58590706,北苑家园,奥运村安立路81号（北五环仰山桥向北）,Park/Square,116.40853,40.037822,jing cang jian kang gong yuan,ao yun cun an li lu 81 hao （ bei wu huan yang shan qiao xiang bei ）,bei yuan jia yuan
景山公园,64038098,地安门,景山西街44号（故宫后门对面）,Garden,116.396935,39.925797,jing shan gong yuan,jing shan xi jie 44 hao （ gu gong hou men dui mian ）,di an men
莲花池公园,63972892,北京西站/六里桥,西三环中路38号,City Park,116.314919,39.892105,lian hua chi gong yuan,xi san huan zhong lu 38 hao,bei jing xi zhan / liu li qiao
柳荫公园,84131660,安定门,安定门外黄寺大街8号,City Park,116.402122,39.960835,liu yin gong yuan,an ding men wai huang si da jie 8 hao,an ding men
龙潭公园,67144336;67186358,左安门,龙潭路8号,City Park,116.440735,39.878754,long tan gong yuan,long tan lu 8 hao,zuo an men
马甸公园,138****0720,牡丹园/北太平庄,G6辅路与裕民路交叉口西侧,City Park,116.379868,39.972294,ma dian gong yuan,G 6 fu lu yu yu min lu jiao cha kou xi ce,mu dan yuan / bei tai ping zhuang
北京明城墙遗址公园,65270574;65270080,崇文门,崇文门东大街9号,Cultural Park,116.427933,39.901272,bei jing ming cheng qiang yi zhi gong yuan,chong wen men dong da jie 9 hao,chong wen men
南馆公园,84012558,东直门,西羊管胡同甲1号,City Park,116.427696,39.943535,nan guan gong yuan,xi yang guan hu tong jia 1 hao,dong zhi men
金隅南湖公园,64738813,望京,阜通西大街20号,City Park,116.460472,39.982311,jin yu nan hu gong yuan,fu tong xi da jie 20 hao,wang jing
南口公园,69775448,南口镇,南口西大桥西侧,City Park,116.117912,40.234161,nan kou gong yuan,nan kou xi da qiao xi ce,nan kou zhen
南礼士路公园,62023200,月坛,南礼士路58号（南礼士路地铁站B东北口步行340米）,City Park,116.354645,39.910748,nan li shi lu gong yuan,nan li shi lu 58 hao （ nan li shi lu di tie zhan B dong bei kou bu xing 340 mi ）,yue tan
南苑公园,67992403,新宫,南苑西路5号,City Park,116.378693,39.806465,nan yuan gong yuan,nan yuan xi lu 5 hao,xin gong
人定湖公园,62023200,德外大街,德胜街道安德路六铺炕15号（黄寺大街南侧）,City Park,116.38559,39.957405,ren ding hu gong yuan,de sheng jie dao an de lu liu pu kang 15 hao （ huang si da jie nan ce ）,de wai da jie
日坛公园,85616301;85635038,建外大街,日坛北路6号,City Park,116.44383,39.915566,ri tan gong yuan,ri tan bei lu 6 hao,jian wai da jie
三元桥文化园,84542268,亮马桥/三元桥,三元桥新源里街心绿地,City Park,116.45079,39.949593,san yuan qiao wen hua yuan,san yuan qiao xin yuan li jie xin lv di,liang ma qiao / san yuan qiao
石榴庄公园,,大红门,南四环中路大红门东桥凉水河南,City Park,116.422508,39.83342,shi liu zhuang gong yuan,nan si huan zhong lu da hong men dong qiao liang shui he nan,da hong men
北京世界公园,83613681,世界公园,花乡街道大葆台158号,Theme Park,116.287921,39.810482,bei jing shi jie gong yuan,hua xiang jie dao da bao tai 158 hao,shi jie gong yuan
双龙公园,,北京欢乐谷,北杨庄路138号,City Park,116.48288,39.869556,shuang long gong yuan,bei yang zhuang lu 138 hao,bei jing huan le gu
双秀公园,62011695;82089805,牡丹园/北太平庄,北三环中路20号,City Park,116.374817,39.966297,shuang xiu gong yuan,bei san huan zhong lu 20 hao,mu dan yuan / bei tai ping zhuang
双榆树公园,,双榆树,科学院南路31号,City Park,116.324814,39.970451,shuang yu shu gong yuan,ke xue yuan nan lu 31 hao,shuang yu shu
顺城公园,,阜成门,阜成门桥东100米（宫门口四条南）,Cultural Park,116.357201,39.913258,shun cheng gong yuan,fu cheng men qiao dong 100 mi （ gong men kou si tiao nan ）,fu cheng men
顺义公园,69441755,顺义城区,光明南街26号,City Park,116.662003,40.120822,shun yi gong yuan,guang ming nan jie 26 hao,shun yi cheng qu
四得公园,64353759,酒仙桥,将台乡将台西路9号,City Park,116.474869,39.972145,si de gong yuan,jiang tai xiang jiang tai xi lu 9 hao,jiu xian qiao
四季青公园,,远大路,蓝靛厂北路,City Park,116.287476,39.968742,si ji qing gong yuan,lan dian chang bei lu,yuan da lu
太阳宫公园,84574426,太阳宫,十字口东街（近太阳宫路）,City Park,116.455856,39.975361,tai yang gong gong yuan,shi zi kou dong jie （ jin tai yang gong lu ）,tai yang gong
天坛公园,67013036;67012483,天坛,天坛东路天坛东里甲1号,Garden,116.411034,39.881775,tian tan gong yuan,tian tan dong lu tian tan dong li jia 1 hao,tian tan
万春园公园,81524984,梨园,玉桥中路19号,City Park,116.677231,39.893257,wan chun yuan gong yuan,yu qiao zhong lu 19 hao,li yuan
万芳亭公园,67211666,洋桥/木樨园,南三环西路3号,City Park,116.37571,39.858597,wan fang ting gong yuan,nan san huan xi lu 3 hao,yang qiao / mu xi yuan
万柳公园,82706909,苏州桥,新宫门路,City Park,116.293381,39.979977,wan liu gong yuan,xin gong men lu,su zhou qiao
万寿公园,63540841;63542172,右安门,白纸坊东街甲29号（陶然亭地铁站A西北口步行480米）,City Park,116.368248,39.879787,wan shou gong yuan,bai zhi fang dong jie jia 29 hao （ tao ran ting di tie zhan A xi bei kou bu xing 480 mi ）,you an men
望京公园,64382268,望京,崔各庄地区彩虹路2号,City Park,116.498512,39.994781,wang jing gong yuan,cui ge zhuang di qu cai hong lu 2 hao,wang jing
卧龙公园,69445460,顺义城区,顺白路2号,City Park,116.640556,40.14093,wo long gong yuan,shun bai lu 2 hao,shun yi cheng qu
顺义夕阳红公园,,石园,府前中街8号,City Park,116.670982,40.113068,shun yi xi yang hong gong yuan,fu qian zhong jie 8 hao,shi yuan
西海子公园,80882290,新华大街,新华街道西海子西路12号,City Park,116.664116,39.914635,xi hai zi gong yuan,xin hua jie dao xi hai zi xi lu 12 hao,xin hua da jie
香河园公园,,左家庄,左家庄街道机场高速与左家庄东街交叉路口往西约50米,City Park,116.448906,39.95385,xiang he yuan gong yuan,zuo jia zhuang jie dao ji chang gao su yu zuo jia zhuang dong jie jiao cha lu kou wang xi yue 50 mi,zuo jia zhuang
香山公园,62591222,香山/植物园,香山街道买卖街40号,Garden,116.188598,39.990826,xiang shan gong yuan,xiang shan jie dao mai mai jie 40 hao,xiang shan / zhi wu yuan
兴隆公园,85759918,高碑店,兴隆庄甲8号（近高碑店地铁站）,City Park,116.533592,39.912609,xing long gong yuan,xing long zhuang jia 8 hao （ jin gao bei dian di tie zhan ）,gao bei dian
宣武艺园,83116736,牛街,槐柏树街12号（近宣武医院、长椿街地铁站西南口）,City Park,116.359192,39.895138,xuan wu yi yuan,huai bai shu jie 12 hao （ jin xuan wu yi yuan 、 chang chun jie di tie zhan xi nan kou ）,niu jie
窑洼湖公园,67316688,朝阳区,北工大路与奥林匹克路交叉口北480米,City Park,116.484222,39.882345,yao wa hu gong yuan,bei gong da lu yu ao lin pi ke lu jiao cha kou bei 480 mi,zhao yang qu
迎宾公园,,城关街道,城关街道燕房路,Park/Square,115.995987,39.700714,ying bin gong yuan,cheng guan jie dao yan fang lu,cheng guan jie dao
中山公园,66055431,东城区,东华门街道中华路4号（天安门西侧）,Garden,116.394402,39.910706,zhong shan gong yuan,dong hua men jie dao zhong hua lu 4 hao （ tian an men xi ce ）,dong cheng qu
八达岭全教学滑雪场,69129922;69129988,八达岭,八达岭镇经济开发区66号,Ski Resort,115.957841,40.347022,ba da ling quan jiao xue hua xue chang,ba da ling zhen jing ji kai fa qu 66 hao,ba da ling
怀北国际滑雪场,89696677,青龙峡,河防口村548号,Ski Resort,116.656303,40.447449,huai bei guo ji hua xue chang,he fang kou cun 548 hao,qing long xia
军都山滑雪场,60725888,蟒山国家森林公园,崔村镇真顺村588号,Ski Resort,116.331245,40.239677,jun du shan hua xue chang,cui cun zhen zhen shun cun 588 hao,mang shan guo jia sen lin gong yuan
南山滑雪场,89091909;84411182,南山滑雪场,河南寨镇圣水头村,Ski Resort,116.861755,40.331215,nan shan hua xue chang,he nan zhai zhen sheng shui tou cun,nan shan hua xue chang
万科石京龙滑雪场,69191617;69191615,龙庆峡,中羊坊村旧小路龙聚山庄北区东邻,Ski Resort,115.96978,40.525173,wan ke shi jing long hua xue chang,zhong yang fang cun jiu xiao lu long ju shan zhuang bei qu dong lin,long qing xia
云佛滑雪场,61008900,密云水库,溪翁庄镇313省道云佛滑雪场,Ski Resort,116.881516,40.473934,yun fo hua xue chang,xi weng zhuang zhen 313 sheng dao yun fo hua xue chang,mi yun shui ku
安亲王府,,崇文门,东交民巷15号法国使馆旧址,Historical Building,116.410721,39.90276,an qin wang fu,dong jiao min xiang 15 hao fa guo shi guan jiu zhi,chong wen men
八达岭长城,61118002;69122222,八达岭,军都山关沟古道北口,Acient Ruins,116.016777,40.356159,ba da ling chang cheng,jun du shan guan gou gu dao bei kou,ba da ling
白河峡谷营地,139****0339,白河湾,琉璃庙镇青石岭村,Other Attractions/Side Trip,116.681654,40.663221,bai he xia gu ying di,liu li miao zhen qing shi ling cun,bai he wan
北京后花园,60707588;69768087,昌平区,后二路,Natural Scenery,116.077477,40.137981,bei jing hou hua yuan,hou er lu,chang ping qu
白马关堡,,密云区其他,西火路与白南路交叉路口往东北约130米,Acient Ruins,116.916054,40.714813,bai ma guan bao,xi huo lu yu bai nan lu jiao cha lu kou wang dong bei yue 130 mi,mi yun qu qi ta
妙应寺白塔,66166099,阜成门,阜成门内大街171,Historical Building,116.363335,39.924885,miao ying si bai ta,fu cheng men nei da jie 171,fu cheng men
白云观,63463531;63396074,复兴门,白云观街9号,Religion,116.343773,39.90126,bai yun guan,bai yun guan jie 9 hao,fu xing men
百望山森林公园,62884356;62884508,百望山森林公园/309医院,黑山扈北口19号,Forest Park,116.255619,40.02997,bai wang shan sen lin gong yuan,hei shan hu bei kou 19 hao,bai wang shan sen lin gong yuan / 309 yi yuan
北京海洋馆,62176655,北下关,高梁桥斜街乙18号,Aquarium,116.340965,39.944674,bei jing hai yang guan,gao liang qiao xie jie yi 18 hao,bei xia guan
碧云寺,62594463;62591222,香山/植物园,香山买卖街40号香山公园内,Religion,116.19136,39.997486,bi yun si,xiang shan mai mai jie 40 hao xiang shan gong yuan nei,xiang shan / zhi wu yuan
蔡锷故居,,新街口,棉花胡同66号,Former Residence of Celebrity,116.376465,39.937786,cai e gu ju,mian hua hu tong 66 hao,xin jie kou
蔡元培故居,65275840,王府井/东单,东堂子胡同75号（灯市口地铁站C东南口步行430米）,Former Residence of Celebrity,116.418419,39.914402,cai yuan pei gu ju,dong tang zi hu tong 75 hao （ deng shi kou di tie zhan C dong nan kou bu xing 430 mi ）,wang fu jing / dong dan
程砚秋故居,,西四,西四北三条39号,Former Residence of Celebrity,116.367714,39.927856,cheng yan qiu gu ju,xi si bei san tiao 39 hao,xi si
北京大观园,63582011;63544993,右安门,南菜园西街12号,Garden,116.35614,39.871433,bei jing da guan yuan,nan cai yuan xi jie 12 hao,you an men
大寒岭关城,87012690,门头沟区,018县道,Historical Building,115.819058,39.940858,da han ling guan cheng,018 xian dao,men tou gou qu
敕建大觉禅寺,62456163;62456162,海淀区,苏家坨镇大觉寺路9号,Religion,116.106022,40.052825,chi jian da jue shan si,su jia tuo zhen da jue si lu 9 hao,hai dian qu
地坛公园,64214657,雍和宫/地坛,安定门外大街,Acient Ruins,116.415459,39.954182,di tan gong yuan,an ding men wai da jie,yong he gong / di tan
法海禅寺,88715776,模式口,模式口大街48号,Historical Building,116.159459,39.941479,fa hai shan si,mo shi kou da jie 48 hao,mo shi kou
法源寺,63534171,牛街,法源寺前街7号,Religion,116.369888,39.885384,fa yuan si,fa yuan si qian jie 7 hao,niu jie
冯国璋故居,,地安门,帽儿胡同13号（南锣鼓巷地铁站E西北口步行450米）,Former Residence of Celebrity,116.401283,39.936455,feng guo zhang gu ju,mao er hu tong 13 hao （ nan luo gu xiang di tie zhan E xi bei kou bu xing 450 mi ）,di an men
北京凤凰岭,62455933,海淀区,苏家坨镇凤凰岭路19号,Natural Scenery,116.084178,40.107709,bei jing feng huang ling,su jia tuo zhen feng huang ling lu 19 hao,hai dian qu
缸瓦市基督教堂,66176181;66172838,西四,西四南大街57号（西四丁字路口南侧路西）,Religion,116.373155,39.921385,gang wa shi ji du jiao tang,xi si nan da jie 57 hao （ xi si ding zi lu kou nan ce lu xi ）,xi si
龚自珍故居,,宣武门,上斜街50号,Former Residence of Celebrity,116.369118,39.897587,gong zi zhen gu ju,shang xie jie 50 hao,xuan wu men
古崖居景区,69110333,延庆区其他,古龙路东门营村,Acient Ruins,115.775452,40.462917,gu ya ju jing qu,gu long lu dong men ying cun,yan qing qu qi ta
故宫博物院,4009501925,王府井/东单,景山前街4号,Museum,116.397049,39.917965,gu gong bo wu yuan,jing shan qian jie 4 hao,wang fu jing / dong dan
郭守敬纪念馆,83224626,后海/什刹海,德胜门西大街甲60号汇通祠内,Memorial Hall,116.374237,39.948044,guo shou jing ji nian guan,de sheng men xi da jie jia 60 hao hui tong ci nei,hou hai / shi cha hai
孔庙和国子监博物馆,64075259;64057214,雍和宫/地坛,国子监街15号,Museum,116.413933,39.946651,kong miao he guo zi jian bo wu guan,guo zi jian jie 15 hao,yong he gong / di tan
和敬公主府,64019808,东四,张自忠路7号（原铁狮子胡同）,Historical Building,116.413437,39.934841,he jing gong zhu fu,zhang zi zhong lu 7 hao （ yuan tie shi zi hu tong ）,dong si
红螺寺,60681639;60681175,红螺寺,怀柔镇卢庄村北红螺东路2号,Religion,116.62487,40.383263,hong luo si,huai rou zhen lu zhuang cun bei hong luo dong lu 2 hao,hong luo si
鸿焱湖风景区,,怀柔区,桥梓镇沙峪口水库,Natural Scenery,116.48407,40.286706,hong yan hu feng jing qu,qiao zi zhen sha yu kou shui ku,huai rou qu
虎峪自然风景区,69771720,昌平区,南口地区虎峪路,Natural Scenery,116.106789,40.325191,hu yu zi ran feng jing qu,nan kou di qu hu yu lu,chang ping qu
黄花城水库,69648041,黄花城水长城,九渡河镇,Dam,116.345894,40.420753,huang hua cheng shui ku,jiu du he zhen,huang hua cheng shui chang cheng
纪晓岚故居纪念馆,63036712,虎坊桥,大栅栏街道珠市口西大街241号（陕西巷南口）,Memorial Hall,116.387245,39.890057,ji xiao lan gu ju ji nian guan,da zha lan jie dao zhu shi kou xi da jie 241 hao （ shan xi xiang nan kou ）,hu fang qiao
箭扣长城,61611765,渤海镇/慕田峪长城,雁栖镇西栅子村,Historical Building,116.534496,40.446585,jian kou chang cheng,yan qi zhen xi zha zi cun,bo hai zhen / mu tian yu chang cheng
戒台寺,69805942;69806611,门头沟区,永定镇,Religion,116.086519,39.87049,jie tai si,yong ding zhen,men tou gou qu
京东大峡谷,60968317;60968260,平谷区,昌金路山东庄镇鱼子山村,Natural Scenery,117.168597,40.245186,jing dong da xia gu,chang jin lu shan dong zhuang zhen yu zi shan cun,ping gu qu
京东石林峡风景区,69989816;60987922,石林峡,雕窝村73号,Natural Scenery,117.241455,40.262119,jing dong shi lin xia feng jing qu,diao wo cun 73 hao,shi lin xia
精灵谷自然风景区,69016269;136****8016,密云区其他,石城镇琉辛路45号,Natural Scenery,116.781154,40.595542,jing ling gu zi ran feng jing qu,shi cheng zhen liu xin lu 45 hao,mi yun qu qi ta
敬谨亲王府,,西单,教育街3号,Historical Building,116.372749,39.905262,jing jin qin wang fu,jiao yu jie 3 hao,xi dan
九谷口自然风景区,89696677,青龙峡,河防口村548号（近雁栖湖）,Natural Scenery,116.650459,40.448132,jiu gu kou zi ran feng jing qu,he fang kou cun 548 hao （ jin yan qi hu ）,qing long xia
